Original Image,0.00 pi_1_0.10pi_0.05
156,255
165,255
177,255
169,255
161,255
166,255
160,255
171,255
158,255
175,255
167,255
167,255
174,255
158,255
141,255
158,255
194,255
169,255
159,255
170,255
167,255
173,255
153,255
168,255
171,255
173,255
164,255
160,255
170,255
119,255
164,255
191,255
165,255
151,255
184,255
166,255
170,255
167,255
172,255
164,255
173,255
175,255
164,255
160,255
162,255
165,255
177,255
174,255
170,255
175,255
168,255
179,255
166,255
190,255
178,255
192,255
169,255
161,255
191,255
179,255
182,255
176,255
173,255
180,255
178,255
177,255
177,255
179,255
194,255
183,255
182,255
180,255
181,255
194,255
184,255
189,255
187,255
202,255
194,255
197,255
197,255
198,255
210,255
156,255
198,255
197,255
191,255
202,255
201,255
200,255
203,255
208,255
207,255
204,255
214,255
204,255
202,255
185,255
205,255
214,255
217,255
218,255
155,255
205,255
194,255
209,255
216,255
227,255
228,255
228,255
220,255
226,255
218,255
228,255
225,255
212,255
164,255
217,255
223,255
208,255
220,255
216,255
229,255
216,255
216,255
219,255
225,255
222,255
226,255
220,255
218,255
214,255
203,255
213,255
215,255
207,255
216,255
205,255
209,255
203,255
205,255
212,255
199,255
203,255
195,255
201,255
194,255
197,255
198,255
198,255
196,255
186,255
196,255
201,255
190,255
201,255
194,255
201,255
187,255
190,255
185,255
192,255
186,255
185,255
186,255
189,255
196,255
188,255
174,255
161,255
194,255
200,255
179,255
191,255
185,255
188,255
190,255
184,255
188,255
179,255
189,255
185,255
187,255
182,255
169,255
186,255
186,255
176,255
173,255
181,255
175,255
179,255
151,255
186,255
182,255
179,255
178,255
163,255
169,255
181,255
170,255
171,255
171,255
167,255
162,255
171,255
173,255
167,255
173,255
169,255
180,255
164,255
157,255
150,255
184,255
156,255
169,255
171,255
179,255
171,255
167,255
165,255
169,255
166,255
171,255
171,255
182,255
167,255
187,255
169,255
151,255
168,255
158,255
176,255
156,255
162,255
163,255
184,255
164,255
159,255
171,255
156,255
165,255
165,255
152,255
170,255
182,255
172,255
190,255
194,255
176,255
177,255
175,255
177,255
167,255
174,255
164,255
178,255
136,255
157,255
176,255
177,255
184,255
176,255
180,255
186,255
179,255
178,255
179,255
179,255
185,255
185,255
187,255
192,255
187,255
196,255
199,255
176,255
191,255
201,255
205,255
208,255
203,255
206,255
204,255
203,255
211,255
193,255
197,255
208,255
204,255
203,255
202,255
200,255
208,255
205,255
209,255
217,255
201,255
214,255
214,255
207,255
215,255
206,255
204,255
212,255
211,255
210,255
228,255
194,255
217,255
219,255
232,255
227,255
219,255
220,255
185,255
213,255
220,255
235,255
219,255
220,255
214,255
218,255
224,255
219,255
214,255
215,255
224,255
208,255
209,255
185,255
214,255
229,255
209,255
205,255
196,255
200,255
202,255
201,255
212,255
209,255
205,255
196,255
189,255
180,255
193,255
193,255
200,255
199,255
194,255
194,255
194,255
200,255
192,255
184,255
185,255
180,255
183,255
204,255
193,255
187,255
198,255
186,255
177,255
193,255
181,255
185,255
216,255
170,255
182,255
187,255
173,255
190,255
179,255
179,255
186,255
184,255
185,255
175,255
178,255
187,255
185,255
180,255
180,255
196,255
178,255
173,255
167,255
188,255
189,255
188,255
127,255
168,255
180,255
180,255
176,255
176,255
184,255
